s,t,x,y
"[(2, 2)]",2733.7,"[[201.9317609473125, 199.91893605084513]]","[[171.31812647440967, 342.64974604437595]]"
"[(2, 2)]",2733.8,"[[201.94070227900784, 199.6039232690354]]","[[171.28875143947585, 342.7134537724176]]"
"[(2, 2)]",2733.9,"[[201.65147522664986, 199.62832725212186]]","[[171.23745467856594, 342.73994346454646]]"
"[(2, 2)]",2734.0,"[[201.6765638237181, 199.6529973951098]]","[[171.21011020697182, 342.76681611165446]]"
"[(2, 2)]",2734.1,"[[201.70192476963015, 199.67793323121793]]","[[171.18237789710946, 342.7940674525905]]"
"[(2, 2)]",2734.2,"[[201.72755734036826, 199.7031341246144]]","[[171.1542620076238, 342.82169341015305]]"
"[(2, 2)]",2734.3,"[[201.75346068728146, 199.72859931465095]]","[[171.125766621556, 342.84969008268695]]"
"[(2, 2)]",2734.4,"[[201.70508331847992, 199.68223139814353]]","[[171.09315117537574, 342.8837238029061]]"
"[(2, 2)]",2734.5,"[[201.72938292841127, 199.62914232240846]]","[[171.06412629760078, 342.91802541518973]]"
"[(2, 2)]",2734.6,"[[201.68187110174387, 199.6564015755974]]","[[171.03173125372746, 342.94640838579613]]"
"[(2, 2)]",2734.7,"[[201.04249211792302, 199.02288825571196]]","[[170.97484380050855, 343.02087937775445]]"
"[(2, 2)]",2734.8,"[[201.07031442804063, 199.05066181381804]]","[[170.94513877050537, 343.0500283696997]]"
"[(2, 2)]",2734.9,"[[201.09804656631965, 199.078326196576]]","[[170.91508199754094, 343.07950658498976]]"
"[(2, 2)]",2735.0,"[[201.12570319013068, 199.10592447572273]]","[[170.884693406855, 343.1093269412754]]"
"[(2, 2)]",2735.1,"[[201.1533097473655, 199.133396162723]]","[[170.85397992616748, 343.1394731584674]]"
"[(2, 2)]",2735.2,"[[201.03266285841744, 199.02558881927953]]","[[170.81972731352093, 343.1770356788796]]"
"[(2, 2)]",2735.3,"[[201.01143283184422, 199.05587814728798]]","[[170.78806001302848, 343.2071547533373]]"
"[(2, 2)]",2735.4,"[[201.03774041558094, 199.03372595137904]]","[[170.75711390658577, 343.23996677218224]]"
"[(2, 2)]",2735.5,"[[200.8615620635819, 199.05950700526344]]","[[170.72312986485437, 343.27074297030947]]"
"[(2, 2)]",2735.6,"[[200.86983114483445, 198.85017113290218]]","[[170.69233781636763, 343.31103600071253]]"
"[(2, 2)]",2735.7,"[[200.86340042284706, 198.85935341064308]]","[[170.66125591594704, 343.3419413339964]]"
"[(2, 2)]",2735.8,"[[200.87253542072986, 198.86851055671758]]","[[170.63011923129235, 343.3730590250841]]"
"[(2, 2)]",2735.9,"[[200.62126598446014, 198.87764532663115]]","[[170.59957056640434, 343.4043862791921]]"
"[(2, 2)]",2736.0,"[[200.63600636291693, 198.63298351825682]]","[[170.56907693462074, 343.44144314288246]]"
"[(2, 2)]",2736.1,"[[200.40263333691965, 198.4141385167353]]","[[170.54115140728456, 343.47604187511007]]"
"[(2, 2)]",2736.2,"[[200.42990408510218, 198.44092236478247]]","[[170.51092913464873, 343.5056897375169]]"
"[(2, 2)]",2736.3,"[[200.45387393694313, 198.46797886461226]]","[[170.48038651310935, 343.53572170741006]]"
"[(2, 2)]",2736.4,"[[200.43822363409168, 198.49146883378134]]","[[170.4504217793749, 343.5661520553312]]"
